일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
2014-02-23,7.6,12.9,13:10,3.1,5:39,9.8
2014-02-24,9,14.5,13:49,4.8,3:35,9.7
2014-02-25,10.1,14.8,11:50,6.1,6:36,8.7
2014-02-26,9.1,10.2,10:26,8.2,2:13,2
2014-02-27,12.1,17.5,14:22,8.7,6:14,8.8
2014-02-28,9.8,13.7,11:18,8.1,21:39,5.6
2014-03-01,9.3,11.4,11:35,8,3:43,3.4
2014-03-02,8.1,12.9,14:23,5,23:58,7.9
2014-03-03,6.9,11.2,12:53,4.2,6:47,7
2014-03-04,7.8,12.4,13:15,4.2,3:43,8.2
2014-03-05,6.8,12.5,14:11,2.5,23:59,10
2014-03-06,4.3,8.5,12:29,-0.5,6:57,9
2014-03-07,3.9,8.4,15:23,0.5,6:29,7.9
2014-03-08,5,10.6,13:42,0.5,6:14,10.1
2014-03-09,5.7,11.7,13:44,1.5,23:58,10.2
2014-03-10,4.9,10.6,14:35,-0.6,6:53,11.2
2014-03-11,8.7,13,12:28,3.1,6:37,9.9
2014-03-12,11.5,13.6,23:39,8,3:04,5.6
2014-03-13,5.5,13.9,0:33,2.8,23:10,11.1
2014-03-14,5.2,9.8,15:01,0.8,6:45,9
2014-03-15,8.6,13.7,14:16,2,6:39,11.7
2014-03-16,12.4,17.3,12:58,8.7,5:03,8.6
2014-03-17,13.7,17.9,14:22,9.2,3:21,8.7
2014-03-18,14.5,21.6,14:09,9.3,23:45,12.3
2014-03-19,9.6,12.9,10:25,8.2,6:04,4.7
2014-03-20,7.8,12.8,13:37,4.7,23:58,8.1
2014-03-21,7.2,12.5,14:30,3,5:34,9.5
2014-03-22,9.6,14.1,16:22,4.7,2:51,9.4
2014-03-23,13.4,20,12:54,9.1,1:38,10.9
2014-03-24,13.6,17.6,12:35,9.3,6:48,8.3
2014-03-25,14.6,18.1,12:09,13.1,6:20,5
2014-03-26,15.3,20.2,14:27,12.7,23:59,7.5
2014-03-27,14.2,18.6,14:14,11.7,4:08,6.9
2014-03-28,16.3,19.8,12:25,12.1,6:36,7.7
2014-03-29,14.1,17.4,0:01,12.7,14:15,4.7
